                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.83664,                 0.4141,                 0.8387,                0.78073,                0.55659,                0.62819,                0.42652,                0.77226,                0.36694,                0.81606,              0.0071884,              0.0071884,              0.0071884
                     73,                0.83461,                 0.4143,                0.83704,                0.78364,                0.55621,                0.62849,                0.42646,                0.77225,                0.36662,                0.81596,              0.0071488,              0.0071488,              0.0071488
                     74,                0.83505,                0.41425,                0.83901,                0.77871,                0.55922,                0.62943,                0.42679,                0.76998,                0.36593,                0.81574,              0.0071092,              0.0071092,              0.0071092
                     75,                0.83269,                0.41369,                0.83887,                0.78366,                0.55535,                0.62986,                0.42701,                0.76911,                0.36526,                0.81577,              0.0070696,              0.0070696,              0.0070696
                     76,                0.83215,                0.41213,                0.83831,                0.78008,                0.55547,                0.62951,                0.42717,                 0.7689,                0.36447,                 0.8155,                0.00703,                0.00703,                0.00703
                     77,                0.83182,                  0.411,                 0.8387,                0.78614,                0.55372,                0.62966,                0.42795,                0.76915,                 0.3642,                0.81531,              0.0069904,              0.0069904,              0.0069904
                     78,                0.83299,                0.41135,                 0.8404,                0.78427,                0.55563,                0.63075,                0.42811,                0.76758,                0.36374,                0.81526,              0.0069508,              0.0069508,              0.0069508
                     79,                0.82985,                0.40994,                0.83896,                0.78206,                0.55831,                0.63188,                0.42908,                 0.7666,                0.36259,                0.81515,              0.0069112,              0.0069112,              0.0069112
                     80,                0.82243,                0.40677,                0.83804,                0.78502,                0.55644,                0.63234,                0.42971,                0.76514,                0.36177,                0.81512,              0.0068716,              0.0068716,              0.0068716
                     81,                0.82356,                0.40676,                0.83823,                0.78354,                0.55708,                0.63279,                0.43016,                0.76397,                0.36136,                0.81469,               0.006832,               0.006832,               0.006832
                     82,                0.82423,                0.40821,                0.83761,                0.78698,                0.55575,                0.63314,                0.43112,                0.76247,                 0.3605,                0.81445,              0.0067924,              0.0067924,              0.0067924
                     83,                 0.8249,                0.40749,                  0.836,                0.78651,                0.55534,                0.63169,                0.43113,                0.76211,                0.36008,                0.81437,              0.0067528,              0.0067528,              0.0067528
                     84,                0.82314,                 0.4054,                0.83776,                0.79134,                0.55609,                0.63347,                0.43138,                0.76162,                0.35942,                0.81432,              0.0067132,              0.0067132,              0.0067132
                     85,                0.81818,                0.40224,                0.83551,                0.78771,                0.55729,                0.63397,                0.43232,                0.76035,                0.35902,                0.81411,              0.0066736,              0.0066736,              0.0066736
                     86,                0.81744,                0.40451,                0.83778,                0.78628,                0.55875,                0.63457,                0.43228,                0.75924,                0.35815,                0.81401,               0.006634,               0.006634,               0.006634
                     87,                0.81635,                0.40241,                 0.8359,                0.78683,                0.55829,                0.63505,                0.43221,                0.75845,                0.35808,                0.81389,              0.0065944,              0.0065944,              0.0065944
                     88,                 0.8185,                 0.4022,                0.83583,                0.78942,                0.55679,                0.63549,                0.43222,                0.75771,                0.35812,                0.81383,              0.0065548,              0.0065548,              0.0065548
                     89,                0.81633,                0.40216,                0.83639,                0.78869,                0.55844,                0.63551,                0.43306,                0.75693,                0.35763,                0.81369,              0.0065152,              0.0065152,              0.0065152
                     90,                0.81352,                0.40104,                0.83521,                0.78783,                 0.5601,                0.63655,                 0.4337,                0.75606,                0.35674,                0.81356,              0.0064756,              0.0064756,              0.0064756
                     91,                0.80999,                0.39905,                0.83463,                  0.787,                0.55949,                0.63675,                0.43388,                0.75564,                0.35631,                0.81339,               0.006436,               0.006436,               0.006436
                     92,                0.80887,                0.40005,                0.83359,                0.78656,                0.55886,                0.63678,                0.43409,                0.75614,                0.35622,                0.81339,              0.0063964,              0.0063964,              0.0063964
                     93,                0.81017,                0.39821,                0.83514,                0.78663,                0.55819,                0.63608,                0.43383,                0.75543,                0.35561,                0.81323,              0.0063568,              0.0063568,              0.0063568
                     94,                0.80942,                0.39945,                0.83483,                 0.7897,                0.55859,                0.63653,                0.43428,                0.75437,                0.35517,                0.81313,              0.0063172,              0.0063172,              0.0063172
                     95,                0.80573,                0.39744,                0.83518,                0.78606,                0.55988,                0.63676,                  0.435,                0.75338,                0.35504,                0.81306,              0.0062776,              0.0062776,              0.0062776
                     96,                0.80735,                0.39733,                0.83418,                0.78706,                0.56052,                0.63753,                0.43573,                0.75257,                0.35457,                0.81304,               0.006238,               0.006238,               0.006238
                     97,                0.80256,                0.39506,                0.83526,                0.78748,                0.56059,                0.63774,                0.43664,                0.75167,                0.35385,                 0.8129,              0.0061984,              0.0061984,              0.0061984
                     98,                0.80586,                 0.3954,                0.83498,                0.78779,                0.55894,                 0.6377,                0.43721,                0.75096,                0.35392,                0.81277,              0.0061588,              0.0061588,              0.0061588
                     99,                0.80286,                0.39519,                0.83419,                0.78981,                0.55878,                0.63808,                0.43744,                0.75015,                0.35367,                0.81268,              0.0061192,              0.0061192,              0.0061192
                    100,                0.79951,                 0.3932,                0.83227,                0.79341,                0.55899,                0.63838,                0.43772,                0.74947,                0.35314,                0.81258,              0.0060796,              0.0060796,              0.0060796
                    101,                0.80124,                0.39288,                0.83441,                0.79367,                0.55807,                0.63841,                 0.4382,                0.74897,                0.35272,                0.81249,                0.00604,                0.00604,                0.00604
                    102,                0.79863,                0.39367,                0.83487,                0.79307,                0.55808,                0.63836,                 0.4384,                0.74851,                0.35274,                0.81245,              0.0060004,              0.0060004,              0.0060004
                    103,                 0.7988,                0.39139,                 0.8331,                0.79281,                0.55884,                0.63862,                0.43837,                0.74816,                0.35215,                0.81241,              0.0059608,              0.0059608,              0.0059608
